RuleType,RuleValue,Resolution
AlertType,13030,"NoActReq: Close the alert if no further action is required, or reopen/escalate it according to the current requirement."
AlertType,13023,"NoActReq: The node interface is up and operating normally."
Severity,KInfo,"NoActReq: Informational alert only. Appropriate action has already been taken."
AlertType,1067,"NoActReq: The required services are up and operating normally."
AlertType,10012,"NoActReq: Replication to the remote cluster is functioning properly."
AlertType,1060,"NoActReq: DNS is reachable and responding normally."
MatchString,"Power Supply AC","NoActReq: The AC power supply is operating normally."
MatchString,"Node Status is unhealthy","NoActReq: The node status condition has been reviewed; no further action is required."
MatchString,"not pingable","NoActReq: The node is active and pingable."
AlertType,10017,"NoActReq: The protection policy was deleted intentionally because it was no longer required."
AlertType,13015,"NoActReq: The power supply has been replaced."
AlertType,9047,"NoActReq: This condition is expected while the backup is running within the backup window."
AlertType,10026,"NoActReq: Cohesity prioritizes schedules when multiple schedules are configured for the same time."
AlertType,1146,"NoActReq: This alert is triggered when Secure Shell (SSH) is disabled on the Cohesity cluster."
AlertType,6014,"NoActReq: Manual throttling of background system algorithms was applied as expected."
AlertType,10004,"NoActReq: The run was cancelled because it reached the configured blackout window (quiet time)."
AlertType,1105,"NoActReq: Refer to https://support.cohesity.com/s/article/False-alert-CE03601105-inconsistent for the documented false-alert condition and applicable guidance."
AlertType,6015,"NoActReq: The NFS/SMB server process (Bridge) condition on the Cohesity cluster has been reviewed; no further action is required."
AlertType,11005,"NoActReq: The admin account will not lock out and this alert can be ignored where the documented hotfix/known issue applies."
AlertType,8013,"NoActReq: Informational alert only. Indexing is not skipped; Cohesity uses another method. Alert reference: CE03608013-WMQOptimizedNFSVolumeIndexingSkipped."
AlertType,10003,"NoActReq: The protection run completion time exceeded the configured time threshold. The condition has been reviewed; no further action is required."
AlertType,9024,"NoActReq: The cluster is configured with multiple Domain Controllers as expected."
AlertType,9072,"NoActReq: View access is restricted to systems with IP addresses in the configured subnet list, as expected."
AlertType,8026,"NoActReq: Applies to code release version 7.1.2 only. This alert is a known false positive."
AlertType,81067,"NoActReq: ENG-554091 is a known bug in version 7.3 and is expected to be resolved in version 7.3.1."
AlertType,13030,"NoActReq: ENG-565133 is a known bug in version 7.3 and is expected to be addressed in version 7.3.1."
AlertType,10041,"NoActReq: The certificate associated with the agent will expire within 180 days. Handle renewal through the planned certificate-maintenance process."
AlertType,10034,"NoActReq: This alert is triggered when a restore task fails. The restore failure has been reviewed; no further action is required."
AlertType,61118,"NoActReq: This is a single-node cluster with no data replication configured."
